id;Kategorie;Name;Partei;Wahlkreis;Geschlecht;Kommentar;Bild;tags;Wikipedia_URL;Homepage_URL;SM_Twitter_user;SM_Twitter_id;SM_Twitter_verifiziert;SM_Facebook_id;SM_Facebook_user;SM_Facebook_verifiziert;SM_Youtube_user;SM_Youtube_id;SM_Youtube_verifiziert;SM_Instagram_user;SM_Instagram_id;SM_Instagram_verifiziert;SM_Telegram_user;SM_Telegram_id;SM_Telegram_verifiziert;created_at;created_by;modified_at;modified_by
;Sachsen;Steffen Janich;AfD;158;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Barbara Lenk;AfD;155;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Ulrich Oehme;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Christoph Neumann;AfD;152;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Christian Wesemann;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Frank Trenkler;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Martin Braukmann;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Thomas Dietz;AfD;164;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Mike Moncsek;AfD;163;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;René Bochmann;AfD;151;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Edgar Naujok;AfD;154;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Holger Zielinski;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Nico Köhler;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Holger Prade;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Dirk Eckhardt;AfD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Michael Klonovsky;AfD;162;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Mathias Weiser;AfD;166;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Carolin Bachmann;AfD;161;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Andreas Albrecht Harlaß;AfD;160;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen;Matthias Moosdorf;AfD;165;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Heike Brehmer;CDU;68;weiblich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Dieter Stier;CDU;73;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Tino Sorge;CDU;69;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Christoph Bernstiel;CDU;72;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Sepp Müller;CDU;70;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Torsten Schweiger;CDU;74;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Uwe Harms;CDU;66;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Gerry Weber;CDU;67;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Frank Wyszkowski;CDU;71;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Anna Kreye;CDU;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Claus-Christian Kühne;CDU;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Katrin Rösel;CDU;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Henry Klipp;CDU;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Karamba Diaby;SPD;72;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Katrin Budde;SPD;74;weiblich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Martin Kröber;SPD;69;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Franziska Kersten;SPD;67;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Maik Berger;SPD;68;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Anne Stamm;SPD;71;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Leonard Schneider;SPD;70;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Herbert Wollmann;SPD;66;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Sachsen-Anhalt;Jens Wojtyschak;SPD;73;männlich;;;;;;;;;;;;;;;;;;;;;;;;
