Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Stefan Naas,FDP,Hochtaunus II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Stefan_Naas
Claudia Papst-Dippel,AfD,nur Landesliste,,https://de.wikipedia.org/wiki/Datei:2019-01-18_Konstituierende_Sitzung_Hessischer_Landtag_AfD_3659.jpg,https://de.wikipedia.org/wiki/Claudia_Papst-Dippel
Manfred Pentz,CDU,Darmstadt-Dieburg II,,"https://de.wikipedia.org/wiki/Datei:0323R-CDU,_Manfred_Pentz.jpg",https://de.wikipedia.org/wiki/Manfred_Pentz
Moritz Promny,FDP,Odenwald,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Moritz_Promny
Yanki Pürsün,FDP,Frankfurt am Main IV,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Yanki_P%C3%BCrs%C3%BCn
Lucia Puttrich,CDU,Wetterau II,"Staatsministerin für Bundes- und Europaangelegenheiten, Bevollmächtigte des Landes beim Bund",https://de.wikipedia.org/wiki/Datei:2016-02-04_Lucia_Puttrich_-Ministerin_f%C3%BCr_Bundes-_und_Europaangelegenheiten_Hessen_-_3218-2.jpg,https://de.wikipedia.org/wiki/Lucia_Puttrich
Rainer Rahn,AfD,nur Landesliste,,https://de.wikipedia.org/wiki/Datei:DSC02691_AfD_in_Neuhof_(2)_Rainer_Rahn.jpg,https://de.wikipedia.org/wiki/Rainer_Rahn
Claudia Ravensburg,CDU,Waldeck-Frankenberg II,,https://de.wikipedia.org/wiki/Datei:2013-02-27_Claudia_Ravensburg_-_2989.JPG,https://de.wikipedia.org/wiki/Claudia_Ravensburg
Michael Reul,CDU,Main-Kinzig III,,https://de.wikipedia.org/wiki/Datei:Michael_Reul_(MdL_Hessen_2014-01-18_2).jpg,https://de.wikipedia.org/wiki/Michael_Reul
Boris Rhein,CDU,Frankfurt am Main VI,Landtagspräsident,https://de.wikipedia.org/wiki/Datei:Boris_Rhein_(Martin_Rulsch)_2013-02-26_2.jpg,https://de.wikipedia.org/wiki/Boris_Rhein
Volker Richter,AfD,Kassel-Land II,,https://de.wikipedia.org/wiki/Datei:MJK_42873_Volker_Richter_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Volker_Richter
René Rock,FDP,Offenbach Land III,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Ren%C3%A9_Rock_(MdL_Hessen_2014-01-18).jpg,https://de.wikipedia.org/wiki/Ren%C3%A9_Rock
Günter Rudolph,SPD,Schwalm-Eder I,,https://de.wikipedia.org/wiki/Datei:MJK00788_G%C3%BCnter_Rudolph.jpg,https://de.wikipedia.org/wiki/G%C3%BCnter_Rudolph
Michael Ruhl,CDU,Vogelsberg,,https://de.wikipedia.org/wiki/Datei:MJK_43050_Michael_Ruhl_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Michael_Ruhl
Max Schad,CDU,Main-Kinzig I,,https://de.wikipedia.org/wiki/Datei:MJK_43147_Max_Schad_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Max_Schad
Jan Schalauske,LINKE,Marburg-Biedenkopf II,,https://de.wikipedia.org/wiki/Datei:2019-01-18_Konstituierende_Sitzung_Hessischer_Landtag_LINKE_Schalauske_3593.jpg,https://de.wikipedia.org/wiki/Jan_Schalauske
