Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Björn Försterling,FDP,Landesliste,,https://de.wikipedia.org/wiki/Datei:F%C3%B6rsterling_2017_(cropped).png,https://de.wikipedia.org/wiki/Bj%C3%B6rn_F%C3%B6rsterling
Rainer Fredermann,CDU,Langenhagen,,"https://de.wikipedia.org/wiki/Datei:Fredermann,_Rainer.jpg",https://de.wikipedia.org/wiki/Rainer_Fredermann
Christian Fühner,CDU,Lingen,,"https://de.wikipedia.org/wiki/Datei:F%C3%BChner,_Christian.jpg",https://de.wikipedia.org/wiki/Christian_F%C3%BChner
Marco Genthe,FDP,Landesliste,,https://de.wikipedia.org/wiki/Datei:Marco_Genthe_(2017).png,https://de.wikipedia.org/wiki/Marco_Genthe
Immacolata Glosemeyer,SPD,Wolfsburg,,"https://de.wikipedia.org/wiki/Datei:Glosemeyer,_Immacolata.jpg",https://de.wikipedia.org/wiki/Immacolata_Glosemeyer
Christian Grascha,FDP,Landesliste,,https://de.wikipedia.org/wiki/Datei:Christian_Grascha.png,https://de.wikipedia.org/wiki/Christian_Grascha
Hermann Grupe,FDP,Landesliste,,https://de.wikipedia.org/wiki/Datei:Hermann_Grupe_2.jpg,https://de.wikipedia.org/wiki/Hermann_Grupe_(Politiker)
Dana Guth,fraktionslos,Landesliste,Austritt aus der AfD-Fraktion am 22. September 2020[2],https://de.wikipedia.org/wiki/Datei:2018-02-28_Dana_Guth-6170.jpg,https://de.wikipedia.org/wiki/Dana_Guth
Julia Willie Hamburg,GRÜNE,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Hamburg,_Julia_Willie.jpg",https://de.wikipedia.org/wiki/Julia_Willie_Hamburg
Thordies Hanisch,SPD,Lehrte,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Thordies_Hanisch
Karl Heinz Hausmann,SPD,Göttingen/Harz,,https://de.wikipedia.org/wiki/Datei:Karl_Heinz_Hausmann_-_Projekt_Landtag.jpg,https://de.wikipedia.org/wiki/Karl_Heinz_Hausmann
Frauke Heiligenstadt,SPD,Northeim,,https://de.wikipedia.org/wiki/Datei:Frauke_Heiligenstadt_(Martin_Rulsch)_2.jpg,https://de.wikipedia.org/wiki/Frauke_Heiligenstadt
Tobias Heilmann,SPD,Gifhorn-Nord/Wolfsburg,,"https://de.wikipedia.org/wiki/Datei:Heilmann,_Tobias.jpg","https://de.wikipedia.org/wiki/Tobias_Heilmann_(Politiker,_1975)"
Karsten Heineking,CDU,Nienburg/Schaumburg,,"https://de.wikipedia.org/wiki/Datei:Heineking,_Karsten.jpg",https://de.wikipedia.org/wiki/Karsten_Heineking
Frank Henning,SPD,Osnabrück-Ost,,"https://de.wikipedia.org/wiki/Datei:Henning,_Frank.jpg",https://de.wikipedia.org/wiki/Frank_Henning
Stefan Henze,fraktionslos,Landesliste,Auflösung der AfD-Fraktion am 29. September 2020[4],https://de.wikipedia.org/wiki/Datei:2018-02-28_AfD_Stefan_Henze_MdL-6171.jpg,https://de.wikipedia.org/wiki/Stefan_Henze_(Politiker)
Bernd-Carsten Hiebing,CDU,Meppen,,"https://de.wikipedia.org/wiki/Datei:Hiebing,_Bernd-Carsten.jpg",https://de.wikipedia.org/wiki/Bernd-Carsten_Hiebing
Reinhold Hilbers,CDU,Grafschaft Bentheim,,"https://de.wikipedia.org/wiki/Datei:Hilbers,_Reinhold.jpg",https://de.wikipedia.org/wiki/Reinhold_Hilbers
Jörg Hillmer,CDU,Uelzen,,"https://de.wikipedia.org/wiki/Datei:Hillmer,_J%C3%B6rg.jpg",https://de.wikipedia.org/wiki/J%C3%B6rg_Hillmer
Eike Holsten,CDU,Rotenburg,,"https://de.wikipedia.org/wiki/Datei:Holsten,_Eike.jpg",https://de.wikipedia.org/wiki/Eike_Holsten
Gerda Hövel,CDU,Melle,,"https://de.wikipedia.org/wiki/Datei:H%C3%B6vel,_Gerda.jpg",https://de.wikipedia.org/wiki/Gerda_H%C3%B6vel
Gerd Hujahn,SPD,Göttingen/Münden,,"https://de.wikipedia.org/wiki/Datei:Hujahn,_Gerd.jpg",https://de.wikipedia.org/wiki/Gerd_Hujahn
Meta Janssen-Kucz,GRÜNE,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Janssen-Kuncz,_Meta.jpg",https://de.wikipedia.org/wiki/Meta_Janssen-Kucz
Burkhard Jasper,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:Burkhard_Jasper_10.jpg,https://de.wikipedia.org/wiki/Burkhard_Jasper
Petra Joumaah,CDU,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Joumaah,_Petra.jpg",https://de.wikipedia.org/wiki/Petra_Joumaah
Rüdiger Kauroff,SPD,Garbsen/Wedemark,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/R%C3%BCdiger_Kauroff
Alptekin Kirci,SPD,Hannover-Mitte,,"https://de.wikipedia.org/wiki/Datei:Kirci,_Alptekin.jpg",https://de.wikipedia.org/wiki/Alptekin_Kirci
