"Name","SM_Facebook_id","SM_Facebook_user"
Judith Skudelny,"459810777747747",JSkudelny
,,philipp.bruck
,,sandra.lewold
Dr.Stefan Scheffold,"386919904819646",scheffoldmdl
Mark Helfrich,"264320630338108",markhelfrich.de
Mirjam Schmidt,"528599644239928",MirjamSchmidt2018
,,anna.schwamberger
Peter Tauber,"154308617994137",tauber.peter
Iris Martin-Gehl,"732128846904782",wkb.martin.gehl
,,franktilo.becher.3
Tobias Wald,"216505568684332",tobiaswaldmdl
Ihr Landtagsabgeordneter Jonas Urbach,"110233627014325",LandtagskandidatJonasUrbach
Claudia Schlottmann,"982592651845805",cschlottmann
Dorothea Frederking,"702543343201510",DorotheaFrederking
Ruth Müller,"286877184686015",Ruth.Mueller.SPD
Astrid Grotelüschen,"1544546702299594",Astrid.Grotelueschen
Kerstin Kassner,"466634533412585",KerstinKassnerMdB
Patricia Peill,"153980158359373",patricia.peill.cdu
Clemens Lammerskitten,"124589031629261",ClemensLammerskittenMdL
Claudia Roth,"80635590663",Roth
,,reinhard.brandl
Carsten Ubbelohde,"671132726386385",UbbelohdeBerlin
Jochen Ritter,"1830613690508245",ritterfuerdenkreisolpe
Axel Kukuk,"185231018163550",axelkukuk.cdu
Christian Dürr,"1797023703896597",duerr.christian
"Judith Gerlach","344040952423132",JudithGerlachMdL
"Ralf Kapschack","135383693338249",EsgehtumGerechtigkeit
Mehmet Ali Seyrek,"1435145800098119",Mehmet Ali Seyrek
,,wolfgang.stefinger2013
,,daniel.sicherheit
,,Direktkandidatin
Dennis Thering,"174069489298219",d.thering
"Andreas Krahl","506894446333222",andikrahl
Alfred Sauter,"273666749408271",sauter.alfred
,,Andreas.Noack.Velten
,,PoschmannKatja
"Udo Hemmelgarn","1559497394357047",HemmelgarnUdo
Hanno Bachmann,"433233507008273",HannoBachmann.AfD
Daniela Kolbe,"178584822306524",DanielaKolbeMdB
Marja-Liisa Völlers,"1795700464080827",voellers
Ivo Teichmann - Ihr Landtagsabgeordneter im Wahlkreis  51 - Sächs. Schweiz,"1992721914159596",Ivo Teichmann - Ihr Landtagsabgeordneter im Wahlkreis  51 - Sächs. Schweiz
,,dieter.janecek
René Röspel,"119314141466641",Roespel
Gabi Weber,"350005778449581",Gabi.Weber.SPD
"Wolfgang Waldmüller M-V","1651841218472962",wolfgang.waldmueller
,,richard.graupner
Franz Bergmüller,"182122032722108",FranzBergmuellerMdL
Nikolaus Kramer,"706006922832857",afd.kramer
"Manfred Grund","291844427861571",manfredgrundmdb
Stefan Müller,"1501825416754537",smuellermdb
,,profile.php
,,gustav.herzog
,,profile.php
Maria Flachsbarth,"274895455959618",maria.flachsbarth
,,eric.dietrich.902
,,volker.stahmann.3
Thomas Schäfer,"846754618770357",SchaeferHessen
"Wolfram Keil","347251265943759",wolfram.keil.afd
Rainer Rahn,"993882957480658",afdrainerrahn
Ralph Lenkert,"360115680671622",ralph.lenkert
Joachim Veyhelmann - Für Ihre Interessen im hessischen Landtag,"284179618380602",JoachimVeyhelmann
"Sabine Bangert","1172940376092079",sabine.bangert
Silke Lesemann,"275294562909873",drsilkelesemann
Nicolas Fink,"523878611442399",nicolas.fink.mdl
,,ronny.kretschmer.77
Mario Lehmann,"854813067995785",MarioLehmannAfDLSA
,,sven.lefkowitz
Norbert Altenkamp,"143012542927620",AltenkampMdB
Christoph Bratmann,"186215368411461",christoph.fuer.bs
Stefan Birkner,"274850842603871",birkner.fdp
Michael Hanko,"768579716861584",Michael Hanko
,,heike.brehmer.14
Annette Widmann-Mauz,"314677355299127",widmannmauz
Dietmar Panske,"686548441500195",D.Panske
Thomas Seerig,"204368736721423",ThomasSeerigMdA
Daniel Schäffner,"831911256928031",danielschaeffnermdl
Hendrik Schmitz,"319331394786924",Hendrik.Schmitz.MdL
,,birgit.bergmann.509
Natascha Kohnen,"206585509437022",Natascha.Kohnen.SPD
Manfred Dachner,"1469309023378183",ManfredDachner
Thomas Roth,"915859991829277",thomasroth.fdp
Rainer Kraft,"115152229053025",dr.rainer.kraft
Christoph Bernstiel,"234239623440650",bernstiel
,,muhammedmehmet.tokmak
Volker Meyer,"785247901612290",volker.meyer.cdu
Raymond Walk,"126892407417157",raymond.walk
,,bettina.hornhues
"Mathias Middelberg","497960476919389",mathias.middelberg
Dennis Hohloch,"254321728829544",hohlochdennis
Danial Ilkhanipour,"58289338794",d.ilkhanipour
Fabian Jacobi,"383774081995085",Jacobi.AfD
Christos Katzidis,"1802613473351683",katzidis
Hansjörg Durz,"608651842489093",Hansjoerg.Durz
Barbara Spaniol,"605967482821891",barbara.spanioil
Christoph Berndt,"2357545427862990",HCBerndt
Gunnar Lindemann,"659320797543272",afdlindemann
"Max Gibis, Mitglied des Landtags","1398648183710593",mdlgibis
