Name,Fraktion,Geschlecht,Twitter_screen_name,Twitter_id,Parlament
"Gottfried Backhaus",AfD,männlich,,,"Landtag Sachsen-Anhalt"
"Till Backhaus",SPD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Lisa Hildegard Badum","Bündnis 90/Die Grünen",weiblich,badulrichmartha,282195399,Bundestag
"Heike Baehrens",SPD,weiblich,,,Bundestag
"Annalena Baerbock","Bündnis 90/Die Grünen",weiblich,ABaerbock,2179010672,Bundestag
"Katja Bahlmann","DIE LINKE",weiblich,katja_bahlmann,2977798858,"Landtag Sachsen-Anhalt"
"Ulrike Bahr",SPD,weiblich,mdb_ulrike_bahr,724565991104110592,Bundestag
"Orthwin Baier",SPD,männlich,,,"Landtag Brandenburg"
"Christian Baldauf",CDU,männlich,ChBaldauf,228016783,"Landtag Rheinland-Pfalz"
"Christina Baltes",SPD,weiblich,,,"Landtag des Saarlandes"
"Dr. Rainer Balzer",AfD,männlich,DrRainerBalzer,727753463229206528,"Landtag von Baden-Württemberg"
"Dirk Bamberger",CDU,männlich,,,"Hessischer Landtag"
"Sabine Bangert","Bündnis 90/Die Grünen",weiblich,SabineBangert,262062333,"Abgeordnetenhaus von Berlin"
"Jürgen Banzer",CDU,männlich,,,"Hessischer Landtag"
"Dorothee Bär",CSU,weiblich,dorobaer,140821364,Bundestag
"Nezahat Baradari",SPD,weiblich,Nbaradari,2773426719,Bundestag
"Volkan Baran",SPD,männlich,baran_volkan,1479540692,"Landtag Nordrhein-Westfalen"
"Thomas Bareiß",CDU,männlich,thomas_bareiss,2797812265,Bundestag
"Julian Barlen",SPD,männlich,JulianBarlen,1012957688295280641,"Landtag Mecklenburg-Vorpommern"
"Katarina Barley",SPD,weiblich,katarinabarley,4097559143,EU-Parlament
"Doris Barnett",SPD,weiblich,,,Bundestag
"Anton Baron",AfD,männlich,AntonBaronAfD,989037600899059712,"Landtag von Baden-Württemberg"
"Simone Barrientos Krauss","DIE LINKE",weiblich,SBarrientosK,176104376,Bundestag
"Ralf-Norbert Bartelt",CDU,männlich,,,"Hessischer Landtag"
"Andre Barth",AfD,männlich,,,"Sächsischer Landtag"
"Elke Barth",SPD,weiblich,ElkeBarth_MdL,930355540877807616,"Hessischer Landtag"
"Julia Barth",SPD,weiblich,,,"Hamburgische Bürgerschaft"
"Jürgen  Barth",SPD,männlich,BarthJuergen,3309047410,"Landtag Sachsen-Anhalt"
"Thomas Barth",CDU,männlich,,,"Landtag Rheinland-Pfalz"
"Helmut Barthel",SPD,männlich,,,"Landtag Brandenburg"
"Sabine Barthel",AfD,weiblich,SabineBarthel1,884018918624559104,"Landtag Brandenburg"
"Norbert Barthle",CDU,männlich,,,Bundestag
"Dr. Matthias Bartke",SPD,männlich,matthiasbartke,3376953843,Bundestag
"Sören Bartol",SPD,männlich,soerenbartol,57293969,Bundestag
"Dietmar Gerhard Bartsch","DIE LINKE",männlich,DietmarBartsch,2320519958,Bundestag
"Bärbel Bas",SPD,weiblich,baerbelbas,19438957,Bundestag
"Sabine Bätzing-Lichtenthäler",SPD,männlich,Sabine_Baetzing,281941547,"Landtag Rheinland-Pfalz"
"Alexander Bauer",CDU,männlich,BauerMdL,817007662483337216,"Hessischer Landtag"
"Nicole Bauer",FDP,weiblich,,,Bundestag
"Peter Bauer","Freie Wähler",männlich,FRANKENSPRECHER,132575615,"Bayerischer Landtag"
"Theresia  Bauer","Bündnis 90/Die Grünen",weiblich,TheresiaBauer,2226445668,"Landtag von Baden-Württemberg"
"Volker Bauer",CSU,männlich,,,"Bayerischer Landtag"
"Christina Baum",AfD,weiblich,BaumMdL,955899834325700609,"Landtag von Baden-Württemberg"
"Franziska Baum",FDP,weiblich,fbaumfdp,68986627,"Thüringer Landtag"
"Bernd Baumann",AfD,männlich,BerndBaumannAfD,3043727333,Bundestag
"Dr. Bernd Baumann",AfD,männlich,,,"Hamburgische Bürgerschaft"
"Martin Bäumer",CDU,männlich,MartinBaeumer,2450015448,"Niedersächsischer Landtag"
"Jürgen Baumgärtner",CSU,männlich,,,"Bayerischer Landtag"
"Winfried Bausback",CSU,männlich,Wbausback,4892696752,"Bayerischer Landtag"
"Margarete Bause","Bündnis 90/Die Grünen",weiblich,margaretebause,480623844,Bundestag
"Susanne Bay","Bündnis 90/Die Grünen",weiblich,,,"Landtag von Baden-Württemberg"
"Dr. Danyal Bayaz","Bündnis 90/Die Grünen",männlich,derdanyal,808400627084705792,Bundestag
"Markus Bayerbach",AfD,männlich,,,"Bayerischer Landtag"
"Canan Bayram","Bündnis 90/Die Grünen",weiblich,lieblingxhain,587862375,Bundestag
"Philipp Beatram","DIE LINKE",männlich,,,"Abgeordnetenhaus von Berlin"
"Frank-Tilo Becher",SPD,männlich,,,"Hessischer Landtag"
"Johannes Becher","Bündnis 90/Die Grünen",männlich,Johannes_Becher,807146581128515584,"Bayerischer Landtag"
"Gunnar Beck",AfD,männlich,gunnar_beck,840002348000915465,EU-Parlament
"Norbert Beck",CDU,männlich,,,"Landtag von Baden-Württemberg"
"Peter Beck",AfD,männlich,,,"Bremische Bürgerschaft"
"Roger Beckamp",AfD,männlich,RogerBeckamp,4755310637,"Landtag Nordrhein-Westfalen"
"Alexander Becker",CDU,männlich,,,"Landtag von Baden-Württemberg"
"Andreas Becker",SPD,männlich,AndreasBeckerRE,532919150,"Landtag Nordrhein-Westfalen"
"Barbara Becker",CSU,weiblich,,,"Bayerischer Landtag"
"Franziska Becker",SPD,weiblich,Fcm_BeckerSPD,2684648481,"Abgeordnetenhaus von Berlin"
"Heike Becker",SPD,weiblich,,,"Landtag des Saarlandes"
"Horst  Becker","Bündnis 90/Die Grünen",männlich,becker_horst,1106221621,"Landtag Nordrhein-Westfalen"
"Karsten Becker",SPD,männlich,,,"Niedersächsischer Landtag"
"Monika Becker",FDP,weiblich,,,"Landtag Rheinland-Pfalz"
"Jens Beeck",FDP,männlich,jensbeeck,179216369,Bundestag
"Olaf Beek",FDP,männlich,olafinderbeek,913327957602693121,Bundestag
"Jochen Beekhuis",SPD,männlich,,,"Niedersächsischer Landtag"
"Nicola Beer",FDP,weiblich,nicolabeerfdp,828623998921629696,EU-Parlament
"Sigrid Beer","Bündnis 90/Die Grünen",weiblich,beerenstark,19455453,"Landtag Nordrhein-Westfalen"
"Maik Beermann",CDU,männlich,maikbeermann,569257486,Bundestag
"Hans-Peter Behrens","Bündnis 90/Die Grünen",männlich,,,"Landtag von Baden-Württemberg"
"Manfred Behrens",CDU,männlich,manfredbehrens,61577387,Bundestag
"Patrick Beier","DIE LINKE",männlich,PatrickBeier_93,855130787418656770,"Thüringer Landtag"
"Daniela Beihl",FDP,weiblich,,,"Landtag Nordrhein-Westfalen"
"Anke Beilstein",CDU,weiblich,,,"Landtag Rheinland-Pfalz"
"Eric Beißwenger",CSU,männlich,EricBeisswenger,2201228161,"Bayerischer Landtag"
"Ksenija Bekeris",SPD,weiblich,,,"Hamburgische Bürgerschaft"
"Dietmar Bell",SPD,männlich,DietmarBell,19059408,"Landtag Nordrhein-Westfalen"
"Holger Bellino",CDU,männlich,holger_bellino,1023932890973958144,"Hessischer Landtag"
"Veronika Bellmann",CDU,weiblich,,,Bundestag
"Sybille Benning",CDU,weiblich,SybilleBenning,869205749632831488,Bundestag
"Rainer Bensch",CDU,männlich,BenschRainer,890582808636346368,"Bremische Bürgerschaft"
"Hildegard Bentele",CDU,weiblich,hildebentele,2429391577,EU-Parlament
"Christiane Berg",SPD,weiblich,,,"Landtag Mecklenburg-Vorpommern"
"Hans-Joachim Berg",AfD,männlich,,,"Abgeordnetenhaus von Berlin"
"Lars Berg",AfD,männlich,LarsPatrickBerg,968841871555465217,EU-Parlament
"Petra Berg",SPD,weiblich,,,"Landtag des Saarlandes"
"Mario Berger",AfD,männlich,,,"Sächsischer Landtag"
"Stefan Berger",CDU,männlich,DrStefanBerger,46128473,EU-Parlament
"Jürgen Berghahn",SPD,männlich,,,"Landtag Nordrhein-Westfalen"
"Dr. André Berghegger",CDU,männlich,,,Bundestag
"Birgit Bergmann",FDP,weiblich,,,"Bremische Bürgerschaft"
"Dr. Günther J. Bergmann",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Franz Bergmüller",AfD,männlich,FBergmuellerMdL,1069519640521555968,"Bayerischer Landtag"
"Dirk Bergner",FDP,männlich,DirkBergner,27234930,"Thüringer Landtag"
"Ute Bergner",FDP,weiblich,,,"Thüringer Landtag"
"Cem Berk",SPD,männlich,,,"Hamburgische Bürgerschaft"
"Hans-Christoph Berndt",AfD,männlich,HCBerndt,1047818703591657474,"Landtag Brandenburg"
"Marc Bernhard",AfD,männlich,marcbernhardafd,805823950253150208,Bundestag
"Jacqueline Bernhardt","DIE LINKE",weiblich,JacbeJacqueline,930837904653418498,"Landtag Mecklenburg-Vorpommern"
"Melanie Bernstein",CDU,weiblich,,,Bundestag
"Christoph Bernstiel",CDU,männlich,c_bernstiel,830085678063030273,Bundestag
"Birgit Bessin",AfD,weiblich,BirgitBessin,2978423943,"Landtag Brandenburg"
"Peter Beuth",CDU,männlich,peterbeuth,53367936,"Hessischer Landtag"
"Lorenz Gösta Beutin","DIE LINKE",männlich,lgbeutin,136266976,Bundestag
"Peter Beyer",CDU,männlich,peter_beyer,445375409,Bundestag
"Marc Biadacz",CDU,männlich,MBiadaczMdB,935815000006053888,Bundestag
"Andreas Bialas",SPD,männlich,Abialas,90497993,"Landtag Nordrhein-Westfalen"
"Peter Biesenbach",CDU,männlich,PeterBiesenbach,560151919,"Landtag Nordrhein-Westfalen"
"Jessica Bießmann",Sonstige,weiblich,JessicaBiessman,393541223,"Abgeordnetenhaus von Berlin"
"Sascha Bilay","DIE LINKE",männlich,SBilay,164205156,"Thüringer Landtag"
"Steffen Bilger",CDU,männlich,steffenbilger,23925041,Bundestag
"Martin Bill","Bündnis 90/Die Grünen",männlich,,,"Hamburgische Bürgerschaft"
"Daniela Billig","Bündnis 90/Die Grünen",weiblich,danielabillig,2967515615,"Abgeordnetenhaus von Berlin"
"Sascha  Binder",SPD,männlich,saschabinder,219032584,"Landtag von Baden-Württemberg"
"Lothar Binding",SPD,männlich,lothar_binding,2617281050,Bundestag
"Katharina Binz","Bündnis 90/Die Grünen",weiblich,katharina_binz,141163937,"Landtag Rheinland-Pfalz"
"Dr. Stefan Birkner",FDP,männlich,Stefan_Birkner,580906159,"Niedersächsischer Landtag"
"Matthias  Birkwald","DIE LINKE",männlich,mwbirkwald,748851762,Bundestag
"Gaby Bischoff",SPD,weiblich,gabischoff,3541939462,EU-Parlament
"Mike Bischoff",SPD,männlich,,,"Landtag Brandenburg"
"Rainer Bischoff",SPD,männlich,,,"Landtag Nordrhein-Westfalen"
"Inge Blask",SPD,weiblich,ingeblask,84673118,"Landtag Nordrhein-Westfalen"
"Jutta Blatzheim-Roegler","Bündnis 90/Die Grünen",weiblich,,,"Landtag Rheinland-Pfalz"
"André Blechschmidt","DIE LINKE",männlich,BlechschmidtA,951080921163292674,"Thüringer Landtag"
"Andreas Bleck",AfD,männlich,AndreasBleckAfD,910878654535749632,Bundestag
"Thomas Blenke",CDU,männlich,,,"Landtag von Baden-Württemberg"
"Peter Bleser",CDU,männlich,,,Bundestag
"Dr. Christian Blex",AfD,männlich,ChristianBlex,855339513198952448,"Landtag Nordrhein-Westfalen"
"Karl-Heinz Bley",CDU,männlich,,,"Niedersächsischer Landtag"
"Marlen Block","DIE LINKE",weiblich,MarlenBlock,1170632691307429888,"Landtag Brandenburg"
"Miriam Block","Bündnis 90/Die Grünen",weiblich,,,"Hamburgische Bürgerschaft"
"Christiane Blömeke","Bündnis 90/Die Grünen",weiblich,,,"Hamburgische Bürgerschaft"
"Jörg Blöming",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Marc Blondin",CDU,männlich,MdlMarc,883313551523401729,"Landtag Nordrhein-Westfalen"
"Michael Bloss","Bündnis 90/Die Grünen",männlich,michabl,20344328,EU-Parlament
"Carola Bluhm","DIE LINKE",weiblich,,,"Abgeordnetenhaus von Berlin"
"Heidrun Bluhm","DIE LINKE",weiblich,,,Bundestag
"Markus Blume",CSU,männlich,MarkusBlume,855232346,"Bayerischer Landtag"
"Maryam Blumenthal","Bündnis 90/Die Grünen",weiblich,,,"Hamburgische Bürgerschaft"
"André Bock",CDU,männlich,,,"Niedersächsischer Landtag"
"Nicola Böcker-Giannini",SPD,weiblich,BoeckerMda,977505094399873024,"Abgeordnetenhaus von Berlin"
"Marcus Bocklet","Bündnis 90/Die Grünen",männlich,marcusbocklet,218965191,"Hessischer Landtag"
"Michael Boddenberg",CDU,männlich,M_Boddenberg,971042894227361795,"Hessischer Landtag"
"Jörg Bode",FDP,männlich,joergbode,23291021,"Niedersächsischer Landtag"
"Hartmut Bodeit",CDU,männlich,HBodeit,607957793,"Bremische Bürgerschaft"
"Sabine Boeddinghaus","DIE LINKE",weiblich,s_boeddinghaus,3382066053,"Hamburgische Bürgerschaft"
"Peter Christian Pascal Boehringer",AfD,männlich,peterboehringer,99268600,Bundestag
"Damian Boeselager",Volt,männlich,d_boeselager,832097871893770240,EU-Parlament
