Name,Fraktion,Geschlecht,Twitter_screen_name,Twitter_id,Parlament
"Kerstin Geis",SPD,weiblich,kerstin_geis,635764362,"Hessischer Landtag"
"Andreas Geisel",SPD,männlich,,,"Abgeordnetenhaus von Berlin"
"Stefan Gelbhaar","Bündnis 90/Die Grünen",männlich,stefangelbhaar,426582569,Bundestag
"Sebastian Gemkow",CDU,männlich,SebastianGemkow,2747240111,"Sächsischer Landtag"
"Katalin Gennburg","DIE LINKE",weiblich,die_gennburg,716987646938058752,"Abgeordnetenhaus von Berlin"
"Christoph Gensch",CDU,männlich,ChristophGensch,750752336700665856,"Landtag Rheinland-Pfalz"
"Marion Gentges",CDU,weiblich,,,"Landtag von Baden-Württemberg"
"Dr. Marco Genthe",FDP,männlich,GentheMarco,1047790515205414913,"Niedersächsischer Landtag"
"Ralf Georgi","DIE LINKE",männlich,RalfGeorgi,769419348,"Landtag des Saarlandes"
"Daniel Gerber","Bündnis 90/Die Grünen",männlich,,,"Sächsischer Landtag"
"Michael Gerdes",SPD,männlich,gerdesmdb,2468956470,Bundestag
"Alois Gerig",CDU,männlich,,,Bundestag
"Judith Gerlach",CSU,weiblich,gerlach_judith,1062589095845728257,"Bayerischer Landtag"
"Martin Gerster",SPD,männlich,,,Bundestag
"Helmut Geuking",Familien-Partei,männlich,Brger100,206841917,EU-Parlament
"Max Gibis",CSU,männlich,,,"Bayerischer Landtag"
"Sven Giegold","Bündnis 90/Die Grünen",männlich,sven_giegold,16705726,EU-Parlament
"Eberhard Gienger",CDU,männlich,,,Bundestag
"Horst Gies",CDU,männlich,Horstgies,373936549,"Landtag Rheinland-Pfalz"
"Sarah Gillen",CDU,weiblich,SarahGillen_MdL,854701959894495232,"Landtag des Saarlandes"
"Harald Gindra","DIE LINKE",männlich,,,"Abgeordnetenhaus von Berlin"
"Dennis Gladiator",CDU,männlich,DennisGladiator,21847611,"Hamburgische Bürgerschaft"
"Albrecht Heinz Erhard Glaser",AfD,männlich,,,Bundestag
"Ronald Gläser",AfD,männlich,ronaldglaeser,34251365,"Abgeordnetenhaus von Berlin"
"Thorsten Glauber","Freie Wähler",männlich,ThorstenGlauber,756933821371654147,"Bayerischer Landtag"
"Harry Glawe",CDU,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Markus Gleichmann","DIE LINKE",männlich,m_gleichmann,29300613,"Thüringer Landtag"
"Angelika Glöckner",SPD,weiblich,a_gloeckner,976421048,Bundestag
"Immacolata Glosemeyer",SPD,weiblich,,,"Niedersächsischer Landtag"
"Andreas Glueck",FDP,männlich,Andi_Glueck,1145986626503479296,EU-Parlament
"Franziska Gminder",AfD,weiblich,,,Bundestag
"Lisa Gnadl",SPD,weiblich,,,"Hessischer Landtag"
"Eckhard Gnodtke",CDU,männlich,,,Bundestag
"Thomas Göddertz",SPD,männlich,,,"Landtag Nordrhein-Westfalen"
"Carina Gödecke",SPD,weiblich,,,"Landtag Nordrhein-Westfalen"
"Matthias Goeken",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Bernd Gögel",AfD,männlich,BerndGoegelAfD,989042256937193477,"Landtag von Baden-Württemberg"
"René Gögge","Bündnis 90/Die Grünen",männlich,,,"Hamburgische Bürgerschaft"
"Nicole Stephanie Gohlke","DIE LINKE",weiblich,nicolegohlke,866425075,Bundestag
"Christian Goiny",CDU,männlich,GoinyChristian,757577562742816768,"Abgeordnetenhaus von Berlin"
"Eva Goldbach","Bündnis 90/Die Grünen",weiblich,eva_goldbach,3147619972,"Hessischer Landtag"
"Ulrich Goll",FDP,männlich,profdrgoll,754966544753553408,"Landtag von Baden-Württemberg"
"Gregor Golland",CDU,männlich,GregorGolland,113075930,"Landtag Nordrhein-Westfalen"
"Sahhanim Görgü-Philipp",Grünen,weiblich,,,"Bremische Bürgerschaft"
"Katrin Göring-Eckardt","Bündnis 90/Die Grünen",weiblich,goeringeckardt,626287930,Bundestag
"Christian Görke","DIE LINKE",männlich,Chr_Goerke,2669131375,"Landtag Brandenburg"
"Angela  Gorr",CDU,weiblich,angelagorr,233952440,"Landtag Sachsen-Anhalt"
"Anna Gorskih","DIE LINKE",weiblich,,,"Sächsischer Landtag"
"Inka Gossmann-Reetz",SPD,männlich,InkaGoRe,168726556,"Landtag Brandenburg"
"Tobias Gotthardt","Freie Wähler",männlich,TobiGotthardt,1084928653518098432,"Bayerischer Landtag"
"Hauke Göttsch",CDU,männlich,,,"Schleswig-Holsteinischer Landtag"
"Arno Gottschalk",SPD,männlich,ArnoGottschalk,2740522475,"Bremische Bürgerschaft"
"Kay Gottschalk",AfD,männlich,kaygottschalk1,1286011081,Bundestag
"Eva Gottstein","Freie Wähler",weiblich,,,"Bayerischer Landtag"
"Gabriele Gottwald","DIE LINKE",weiblich,,,"Abgeordnetenhaus von Berlin"
"Thomas Gottweiss",CDU,männlich,GottiSlow,55487366,"Thüringer Landtag"
"Eckard Graage",CDU,männlich,,,"Hamburgische Bürgerschaft"
"Alexander Graf Lambsdorff",FDP,männlich,lambsdorff,149299258,Bundestag
"Florian Graf",CDU,männlich,,,"Abgeordnetenhaus von Berlin"
"Christian Gräff",CDU,männlich,ChGraeff,798811366735781888,"Abgeordnetenhaus von Berlin"
"Fabian Gramling",CDU,männlich,FabianGramling,738358276560150532,"Landtag von Baden-Württemberg"
"Christian Grascha",FDP,männlich,Cgrascha,958443722890514438,"Niedersächsischer Landtag"
"Martin Grath","Bündnis 90/Die Grünen",männlich,,,"Landtag von Baden-Württemberg"
"Richard Graupner",AfD,männlich,RichardGraupner,3842651715,"Bayerischer Landtag"
"Timon Gremmels",SPD,männlich,timon_gremmels,494809842,Bundestag
"Kerstin Griese",SPD,weiblich,kerstingriese,39709752,Bundestag
"Christoph Grimm",AfD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Dr. Bernd Grimmer",AfD,männlich,,,"Landtag von Baden-Württemberg"
"Alfred Grob",CSU,männlich,,,"Bayerischer Landtag"
"Frank Grobe",AfD,männlich,,,"Hessischer Landtag"
"Susanne Grobien",CDU,weiblich,GrobienSusanne,3223402949,"Bremische Bürgerschaft"
"Ursula Groden-Kranich",CDU,weiblich,,,Bundestag
"Hermann Gröhe",CDU,männlich,groehe,94363834,Bundestag
"Klaus-Dieter Gröhler",CDU,männlich,,,Bundestag
"Vanessa Gronemann","Bündnis 90/Die Grünen",weiblich,vangronma,758300370435211264,"Hessischer Landtag"
"Sigrid Grönert",CDU,weiblich,SigridGronert,1147435970142359552,"Bremische Bürgerschaft"
"Birger Gröning",AfD,männlich,,,"Thüringer Landtag"
"Jennifer Groß",CDU,weiblich,Gross_Jenny,81941703,"Landtag Rheinland-Pfalz"
"Michael Peter Groß",SPD,männlich,michaelgrossmdb,2814949590,Bundestag
"Sylvia Groß",AfD,weiblich,HeriFriedmann,1308675588,"Landtag Rheinland-Pfalz"
"Michael Grosse-Brömer",CDU,männlich,mgrossebroemer,574424501,Bundestag
"Astrid Katharina Josefine Grotelüschen",CDU,weiblich,,,Bundestag
"Antje Grotheer",SPD,weiblich,a_grotheer,2442055461,"Bremische Bürgerschaft"
"Uli Grötsch",SPD,männlich,UliGroetsch,867351565757239296,Bundestag
"Falko Grube",SPD,männlich,falkogrube,185606466,"Landtag Sachsen-Anhalt"
"Markus Grübel",CDU,männlich,GruebelMdb,796691290016583680,Bundestag
"Gernot  Gruber",SPD,männlich,,,"Landtag von Baden-Württemberg"
"Stephan Grüger",SPD,männlich,GruegerS,773851352,"Hessischer Landtag"
"Gernot Grumbach",SPD,männlich,,,"Hessischer Landtag"
"Manfred Grund",CDU,männlich,manfred_grund,18935360,Bundestag
"Erhard Grundl","Bündnis 90/Die Grünen",männlich,ErhardGrundl,23601044,Bundestag
"Oliver Klaus Grundmann",CDU,männlich,,,Bundestag
"Hermann Grupe",FDP,männlich,,,"Niedersächsischer Landtag"
"Monika Grütters",CDU,weiblich,,,Bundestag
"Andreas Grutzeck",CDU,männlich,,,"Hamburgische Bürgerschaft"
"Wolf Guido",CDU,männlich,,,"Landtag von Baden-Württemberg"
"Harald Güller",SPD,männlich,,,"Bayerischer Landtag"
"Tilo Gundlack",SPD,männlich,TGundlack,545872272,"Landtag Mecklenburg-Vorpommern"
"Lena Güngör","DIE LINKE",weiblich,,,"Thüringer Landtag"
"Mustafa Güngör",SPD,männlich,MustafaGuengoer,112437096,"Bremische Bürgerschaft"
"Daniel Günther",CDU,männlich,,,"Schleswig-Holsteinischer Landtag"
"Wolfram Günther","Bündnis 90/Die Grünen",männlich,Gruen_WGuenther,1007585132667199488,"Sächsischer Landtag"
"Martin Günthner",SPD,männlich,MartinGuenthner,305159729,"Bremische Bürgerschaft"
"Fritz Güntzler",CDU,männlich,fguentzler,779601750789656576,Bundestag
"Friedlinde Gurr-Hirsch",CDU,weiblich,,,"Landtag von Baden-Württemberg"
"Detlef  Gürth",CDU,männlich,DetlefGurth,1170763451628773376,"Landtag Sachsen-Anhalt"
"Hardy Peter Güssau",CDU,männlich,,,"Landtag Sachsen-Anhalt"
"Dana Guth",AfD,weiblich,Dana_Guth_AfD,883561437645475840,"Niedersächsischer Landtag"
"Jens Guth",SPD,männlich,JensGuth_SPD,1008471727,"Landtag Rheinland-Pfalz"
"Petra Guttenberger",CSU,weiblich,GuttenbergerMdL,66718094,"Bayerischer Landtag"
"Olav Gutting",CDU,männlich,olavgutting,58429842,Bundestag
"Michael Gwosdz","Bündnis 90/Die Grünen",männlich,,,"Hamburgische Bürgerschaft"
"Dr. Gregor Gysi","DIE LINKE",männlich,gregorgysi,888289790,Bundestag
"Christian Haase",CDU,männlich,,,Bundestag
"Martin Habersaat",SPD,männlich,martinhabersaat,190179354,"Schleswig-Holsteinischer Landtag"
"Norbert  Hackbusch","DIE LINKE",männlich,feb63640e151433,2925207555,"Hamburgische Bürgerschaft"
"Thomas Hacker",FDP,männlich,hacker_fdp,89209507,Bundestag
"Petra Häffner","Bündnis 90/Die Grünen",weiblich,,,"Landtag von Baden-Württemberg"
"Marcel Hafke",FDP,männlich,marcelhafke,77193478,"Landtag Nordrhein-Westfalen"
"Bettina Hagedorn",SPD,weiblich,,,Bundestag
"Manuel Hagel",CDU,männlich,HagelManuel,820633568401620992,"Landtag von Baden-Württemberg"
"Daniel Hagemeier",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Martin Hagen",FDP,männlich,realMartinHagen,819481318224523264,"Bayerischer Landtag"
"Rita Hagl-Kehl",SPD,weiblich,ritahaglkehl,836553428042141697,Bundestag
"Christopher Hahn",AfD,männlich,,,"Sächsischer Landtag"
"Dr. André Hahn","DIE LINKE",männlich,,,Bundestag
"Florian Peter Hahn",CSU,männlich,hahnflo,403735368,Bundestag
"Henrike Hahn","Bündnis 90/Die Grünen",weiblich,henrikehahn,1601699341,EU-Parlament
"Ingo Hahn",AfD,männlich,IngoHahnAfD,1110460373407334401,"Bayerischer Landtag"
"Jörg-Uwe Hahn",FDP,männlich,joerguwehahn,270229556,"Hessischer Landtag"
"Martin Hahn","Bündnis 90/Die Grünen",männlich,Martin_Hahn_MdL,3457970789,"Landtag von Baden-Württemberg"
"Svenja Hahn",FDP,weiblich,svenja_hahn,1124773536,EU-Parlament
"Anja Margarete Helene Hajduk","Bündnis 90/Die Grünen",weiblich,hajdukbundestag,4724923756,Bundestag
"Metin Hakverdi",SPD,männlich,metinhakverdi,1043288618,Bundestag
"Volkmar Halbleib",SPD,männlich,,,"Bayerischer Landtag"
"Willi Halder","Bündnis 90/Die Grünen",männlich,,,"Landtag von Baden-Württemberg"
"Martin Haller",SPD,männlich,MartinHaller,25496879,"Landtag Rheinland-Pfalz"
"Karin Halsch",SPD,weiblich,,,"Abgeordnetenhaus von Berlin"
"Julia Willie Hamburg","Bündnis 90/Die Grünen",weiblich,williehamburg,17427925,"Niedersächsischer Landtag"
"Hartmut Hamerich",CDU,männlich,,,"Schleswig-Holsteinischer Landtag"
"Lucie Hammecke","Bündnis 90/Die Grünen",weiblich,,,"Sächsischer Landtag"
"Gabriele Hammelrath",SPD,weiblich,,,"Landtag Nordrhein-Westfalen"
"Armin-Paulus Hampel",AfD,männlich,,,Bundestag
"Ronald Hande","DIE LINKE",männlich,,,"Thüringer Landtag"
"Joachim Hanisch","Freie Wähler",männlich,JoachimHanisch,1119798978,"Bayerischer Landtag"
"Thordies Hanisch",SPD,männlich,,,"Niedersächsischer Landtag"
"Reginals Hanke",FDP,männlich,,,Bundestag
"Michael Hanko",AfD,männlich,,,"Landtag Brandenburg"
"Martina Hannen",FDP,weiblich,MartinaHannen,880855667489296384,"Landtag Nordrhein-Westfalen"
"Tobias Hans",CDU,männlich,tobiashans,19751955,"Landtag des Saarlandes"
"Frank-Christian Hansel",AfD,männlich,FrankHansel,3346541451,"Abgeordnetenhaus von Berlin"
"Heike Hänsel","DIE LINKE",weiblich,heikehaensel,332264734,Bundestag
"Jörg Hansen",FDP,männlich,jorg_hansen,1097521513870311425,"Schleswig-Holsteinischer Landtag"
"Mariana Iris Harder-Kühnel",AfD,weiblich,M_HarderKuehnel,815699423057637381,Bundestag
"Jürgen Hardt",CDU,männlich,juergenhardt,38467606,Bundestag
"Lars Harms","Südschleswigscher Wählerverband",männlich,harms_lars,3027936761,"Schleswig-Holsteinischer Landtag"
"Uwe  Harms",CDU,männlich,,,"Landtag Sachsen-Anhalt"
"Andreas Hartenfels","Bündnis 90/Die Grünen",männlich,,,"Landtag Rheinland-Pfalz"
"Jochen Hartloff",SPD,männlich,,,"Landtag Rheinland-Pfalz"
"Sabine Hartmann- Müller",CDU,weiblich,,,"Landtag von Baden-Württemberg"
"Christian Hartmann",CDU,männlich,,,"Sächsischer Landtag"
"Karin Hartmann",SPD,weiblich,,,"Hessischer Landtag"
"Ludwig Hartmann","Bündnis 90/Die Grünen",männlich,LudwigHartmann,417151607,"Bayerischer Landtag"
"Sebastian Hartmann",SPD,männlich,sebast_hartmann,1076269195,Bundestag
"Dr. Roland Hartwig",AfD,männlich,r_hartwig_afd,282687385,Bundestag
"Reiner Haseloff",CDU,männlich,reinerhaseloff,111282322,"Landtag Sachsen-Anhalt"
"Raimund Haser",CDU,männlich,trenker75,231451839,"Landtag von Baden-Württemberg"
"Britta Haßelmann","Bündnis 90/Die Grünen",weiblich,brihasselmann,1131092102,Bundestag
"Wolfgang Hauber","Freie Wähler",männlich,HauberHauwei,1949928570,"Bayerischer Landtag"
"Christina Haubrich","Bündnis 90/Die Grünen",weiblich,Ch_Haubrich,1067706208868544512,"Bayerischer Landtag"
"Matthias Hauer",CDU,männlich,matthiashauer,1158585210,Bundestag
"Jochen Haug",AfD,männlich,Jochen_Haug,717077328669646849,Bundestag
"Peter Hauk",CDU,männlich,,,"Landtag von Baden-Württemberg"
"Stephan Haupt",FDP,männlich,,,"Landtag Nordrhein-Westfalen"
"Mark Hauptmann",CDU,männlich,markhauptmann,1370491088,Bundestag
"Johann Häusler","Freie Wähler",männlich,,,"Bayerischer Landtag"
"Martin Häusling","Bündnis 90/Die Grünen",männlich,MartinHaeusling,82912952,EU-Parlament
"Hans-Christian Hausmann",CDU,männlich,,,"Abgeordnetenhaus von Berlin"
"Karl Heinz Hausmann",SPD,männlich,,,"Niedersächsischer Landtag"
"Wilhelm Hausmann",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Jochen Haußmann",FDP,männlich,jochenhaussmann,233870929,"Landtag von Baden-Württemberg"
"Martin Hebner",AfD,männlich,,,Bundestag
"Lutz Hecker",AfD,männlich,lutzhecker_mdl,958701463538106376,"Landtag des Saarlandes"
"Dieter Heckmann",SPD,männlich,,,"Landtag des Saarlandes"
"Dagmar Heib",CDU,weiblich,,,"Landtag des Saarlandes"
"Dirk Heidenblut",SPD,männlich,dirk_heidenblut,798315497498537984,Bundestag
"Dr. Matthias Heider",CDU,männlich,MatthiasHeider,154064825,Bundestag
"Erich Heidkamp",AfD,männlich,,,"Hessischer Landtag"
"Peter Heidt",FDP,männlich,PeterHeidtFDP,1858621434,Bundestag
"Hubertus Heil",SPD,männlich,hubertus_heil,15943222,Bundestag
"Mechthild Heil",CDU,weiblich,mechthildheil,974367631,Bundestag
"Frauke Heiligenstadt",SPD,weiblich,FHeiligenstadt,20715527,"Niedersächsischer Landtag"
"Thomas Heilmann",CDU,männlich,,,Bundestag
"Tobias Heilmann",SPD,männlich,TobiasHeilmann2,1666921358,"Niedersächsischer Landtag"
"Andreas Hein",CDU,männlich,,,"Schleswig-Holsteinischer Landtag"
"Rene Hein",AfD,männlich,,,"Sächsischer Landtag"
"Karsten Heineking",CDU,männlich,,,"Niedersächsischer Landtag"
"Bernd Heinemann",SPD,männlich,,,"Schleswig-Holsteinischer Landtag"
"Sven Heinemann",SPD,männlich,,,"Abgeordnetenhaus von Berlin"
"Frank Heinrich",CDU,männlich,frankheinrich,43959185,Bundestag
"Gabriela Heinrich",SPD,weiblich,gaheinrich,296121556,Bundestag
"Günter Heinrich",CDU,männlich,,,"Landtag des Saarlandes"
"Andreas Heinz",CDU,männlich,,,"Sächsischer Landtag"
"Christian Heinz",CDU,männlich,,,"Hessischer Landtag"
"Kristin Heiß","DIE LINKE",weiblich,Kristin_Heiss,719243307734405121,"Landtag Sachsen-Anhalt"
"Birgit Heitland",CDU,weiblich,,,"Hessischer Landtag"
"Marcus Held",SPD,männlich,marcusheld_spd,2860802891,Bundestag
"Mark Helfrich",CDU,männlich,,,Bundestag
"Katrin Helling-Plahr",FDP,weiblich,katrinhelling,21267421,Bundestag
"Wolfgang Hellmich",SPD,männlich,hellmichmdb,786498202832822272,Bundestag
"Anne Helm","DIE LINKE",weiblich,SeeroiberJenny,145180684,"Abgeordnetenhaus von Berlin"
"Udo Theodor Hemmelgarn",AfD,männlich,UdoHemmelgarn,849060114388705280,Bundestag
"Dr. Barbara Hendricks",SPD,weiblich,,,Bundestag
"Madeleine Henfling","Bündnis 90/Die Grünen",weiblich,henfling_m,195792700,"Thüringer Landtag"
"Guido Henke","DIE LINKE",männlich,,,"Landtag Sachsen-Anhalt"
"Jörg Henke",AfD,männlich,,,"Thüringer Landtag"
"Rudolf Henke",CDU,männlich,,,Bundestag
"Frank Henkel",CDU,männlich,,,"Abgeordnetenhaus von Berlin"
"Martin Henkel",CDU,männlich,,,"Thüringer Landtag"
"Uli Henkel",AfD,männlich,,,"Bayerischer Landtag"
"Astrid Hennies",SPD,weiblich,AstridHennies,2829612797,"Hamburgische Bürgerschaft"
"Susanne Hennig","DIE LINKE",weiblich,SusanneHennig,60619687,"Thüringer Landtag"
"Frank Henning",SPD,männlich,,,"Niedersächsischer Landtag"
"Michael Hennrich",CDU,männlich,,,Bundestag
"Marc Henrichmann",CDU,männlich,MarcHenrichmann,44608858,Bundestag
"Bernd Henter",CDU,männlich,,,"Landtag Rheinland-Pfalz"
"Holger Hentschel",AfD,männlich,"existiert nihot",,"Sächsischer Landtag"
"Thomas  Hentschel","Bündnis 90/Die Grünen",männlich,,,"Landtag von Baden-Württemberg"
"Stefan Henze",AfD,männlich,StefanHenze_AfD,3199054942,"Niedersächsischer Landtag"
"Dirk Herber",CDU,männlich,dirk_herber,750777254087622656,"Landtag Rheinland-Pfalz"
"Markus Herbrand",FDP,männlich,,,Bundestag
"Clarissa Herbst",SPD,weiblich,,,"Hamburgische Bürgerschaft"
"Niclas Herbst",CDU,männlich,HerbstNiclas,1081127517250043904,EU-Parlament
"Torsten Herbst",FDP,männlich,torstenherbst,17561226,Bundestag
"Birgit Herdejürgen",SPD,weiblich,BHerdejuergen,830335695696846848,"Schleswig-Holsteinischer Landtag"
"Waldemar Herdt",AfD,männlich,holdingeuropa,1865308944,Bundestag
"Hendrik Hering",SPD,männlich,hendrikhering,240448906,"Landtag Rheinland-Pfalz"
"Thomas Hering",CDU,männlich,,,"Hessischer Landtag"
"Britta Hermann","Bündnis 90/Die Grünen",weiblich,,,"Hamburgische Bürgerschaft"
"Gabriele Hermann",CDU,weiblich,,,"Landtag des Saarlandes"
"Winfried  Hermann","Bündnis 90/Die Grünen",männlich,WinneHermann,55505382,"Landtag von Baden-Württemberg"
"Corinna Herold",AfD,weiblich,CorinnaHerold,918108784496644096,"Thüringer Landtag"
"Hans Herold",CSU,männlich,,,"Bayerischer Landtag"
"Stefan Herre",AfD,männlich,StefanHerreMdL,877919294998315014,"Landtag von Baden-Württemberg"
"Christian Herrgott",CDU,männlich,,,"Thüringer Landtag"
"Florian Herrmann",CSU,männlich,fwhfreising,39849307,"Bayerischer Landtag"
"Joachim Herrmann",CSU,männlich,,,"Bayerischer Landtag"
"Klaus Herrmann",AfD,männlich,,,"Hessischer Landtag"
"Klaus Lars Herrmann",AfD,männlich,,,Bundestag
"Sandro Hersel",AfD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Marc Herter",SPD,männlich,marc_herter,78302044,"Landtag Nordrhein-Westfalen"
"Leopold Herz","Freie Wähler",männlich,,,"Bayerischer Landtag"
"Pierrette Herzberger-Fofana","Bündnis 90/Die Grünen",weiblich,,,EU-Parlament
"Gustav Herzog",SPD,männlich,gustavherzogmdb,857001941305634816,Bundestag
"Martin Alexander Hess",AfD,männlich,Martin_Hess_AfD,872663038805016576,Bundestag
"Birgit Hesse",SPD,weiblich,,,"Landtag Mecklenburg-Vorpommern"
"Katja Hessel",FDP,weiblich,fdp_hessel,107806591,Bundestag
"Prof. Dr. Heiko Heßenkemper",AfD,männlich,,,Bundestag
"Wolfgang Heubisch",FDP,männlich,w_heubisch,95671546,"Bayerischer Landtag"
"Guido Heuer",CDU,männlich,GuidoHeuer,1927119547,"Landtag Sachsen-Anhalt"
"Ansgar Heveling",CDU,männlich,,,Bundestag
"Matthias Hey",SPD,männlich,,,"Thüringer Landtag"
"Jörg Heydorn",SPD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Bernd-Carsten Hiebing",CDU,männlich,,,"Niedersächsischer Landtag"
"Isabell Hiekel","Bündnis 90/Die Grünen",weiblich,Isa_Hiekel,1148904641205297152,"Landtag Brandenburg"
"Christian Hierneis","Bündnis 90/Die Grünen",männlich,Chierneis,836534115981803520,"Bayerischer Landtag"
"Alexandra Hiersemann",SPD,weiblich,Alexand26298982,990305861607264256,"Bayerischer Landtag"
"Reinhold Hilbers",CDU,männlich,Grafschafter1,175306005,"Niedersächsischer Landtag"
"Doreen Hildebrandt","DIE LINKE",weiblich,,,"Landtag Sachsen-Anhalt"
"Elske Hildebrandt",SPD,weiblich,,,"Landtag Brandenburg"
"Gabriele Hiller-Ohm",SPD,weiblich,gabihillerohm,25816024,Bundestag
"Jörg Hillmer",CDU,männlich,JoergHillmer,29023359,"Niedersächsischer Landtag"
"Karsten Hilse",AfD,männlich,Karsten_Hilse,760184727752077314,Bundestag
"Hauke Hilz",FDP,männlich,HaukeHilz,844353416,"Bremische Bürgerschaft"
"Rainer  Hinderer",SPD,männlich,,,"Landtag von Baden-Württemberg"
"Johannes Hintersberger",CSU,männlich,Hintersberger,461418417,"Bayerischer Landtag"
"Priska Hinz","Bündnis 90/Die Grünen",weiblich,PriskaHinz,64998836,"Hessischer Landtag"
"Jan Hippold",CDU,männlich,JanHippold,800465816428761088,"Sächsischer Landtag"
"Christian Hirte",CDU,männlich,christianhirte,37642893,Bundestag
"Prof. Dr. Heribert Hirte",CDU,männlich,hhirte,1513671236,Bundestag
"Thomas Hitschler",SPD,männlich,thomashitschler,292151515,Bundestag
"Christian Hochgrebe",SPD,männlich,chhoch,19361942,"Abgeordnetenhaus von Berlin"
"Nicole Höchst",AfD,weiblich,,,Bundestag
"Björn Höcke",AfD,männlich,BjoernHoecke,2784480231,"Thüringer Landtag"
"Ulli Hockenberger",CDU,männlich,,,"Landtag von Baden-Württemberg"
"Dr. Gero Clemens Hocker",FDP,männlich,,,Bundestag
"Peter  Hofelich",SPD,männlich,,,"Landtag von Baden-Württemberg"
"Heijo Höfer",SPD,männlich,,,"Landtag Rheinland-Pfalz"
"Torsten Hofer",SPD,männlich,,,"Abgeordnetenhaus von Berlin"
"Manuel Höferlin",FDP,männlich,manuelhoeferlin,17483463,Bundestag
"Alexander Hoffmann",CSU,männlich,,,Bundestag
"Dr. Bettina Hoffmann","Bündnis 90/Die Grünen",weiblich,,,Bundestag
"Dr. Christoph Hoffmann",FDP,männlich,,,Bundestag
"Gordon Hoffmann",CDU,männlich,gordonhoffmann,258972314,"Landtag Brandenburg"
"Nadine Hoffmann",AfD,weiblich,NHoffmannAfDTh,955158926642896896,"Thüringer Landtag"
"Heike Hofmann",SPD,weiblich,hofmann_heike,1327651748,"Hessischer Landtag"
"Markus Hofmann","Bündnis 90/Die Grünen",männlich,markushofmann_1,963418555382452224,"Hessischer Landtag"
"Michael Hofmann",CSU,männlich,,,"Bayerischer Landtag"
"Andreas Hofmeister",CDU,männlich,andihofmeister,47709432,"Hessischer Landtag"
"Dr. Anton Hofreiter","Bündnis 90/Die Grünen",männlich,tonihofreiter,442678902,Bundestag
"Rolf-Peter Hogge",AfD,männlich,,,"Landtag Brandenburg"
"Petra Högl",CSU,weiblich,,,"Bayerischer Landtag"
"Klaus Hoher",FDP,männlich,KlausHoher,389373317,"Landtag von Baden-Württemberg"
"Monika Hohlmeier",CSU,weiblich,MHohlmeier,2904048473,EU-Parlament
"Dennis Hohloch",AfD,männlich,Dennis_Hohloch,1081801336172228608,"Landtag Brandenburg"
"Martin Hohmann",AfD,männlich,,,Bundestag
"Monika Hohmann","DIE LINKE",weiblich,MonikaHohmann,944260839619596289,"Landtag Sachsen-Anhalt"
"Matthias Höhn","DIE LINKE",männlich,matthiashoehn,15686106,Bundestag
"Thomas Hölck",SPD,männlich,,,"Schleswig-Holsteinischer Landtag"
"Alexander Hold","Freie Wähler",männlich,,,"Bayerischer Landtag"
"Klaus Holetschek",CSU,männlich,,,"Bayerischer Landtag"
"Dr. Bruno Hollnagel",AfD,männlich,Bruno_Hollnagel," 760883080416616450",Bundestag
"Leif-Erik Holm",AfD,männlich,Leif_Erik_Holm,739531034761498624,Bundestag
"Karl Holmeier",CSU,männlich,,,Bundestag
"Stephan Holowaty",FDP,männlich,StephanHolowaty,29173958,"Schleswig-Holsteinischer Landtag"
"Eike Hendrik Holsten",CDU,männlich,_Heineken_,50344805,"Niedersächsischer Landtag"
"Martina Holzner",SPD,weiblich,,,"Landtag des Saarlandes"
"Henning Homann",SPD,männlich,HenningHomann,49591182,"Sächsischer Landtag"
"Henning Höne",FDP,männlich,henninghoene,23350512,"Landtag Nordrhein-Westfalen"
"Hartmut Honka",CDU,männlich,hartmuthonka,179481213,"Hessischer Landtag"
"Hopmann; Laura",CDU,weiblich,laurahopmann,712327803870564354,"Niedersächsischer Landtag"
"Gerhard Hopp",CSU,männlich,Gertinger,38139548,"Bayerischer Landtag"
"Bernhard Hoppe-Biermeyer",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Dr. Hendrik Hoppenstedt",CDU,männlich,,,Bundestag
"Andreas Höppner","DIE LINKE",männlich,Andreashoeppner,68455687,"Landtag Sachsen-Anhalt"
"Bettina Hornhues",CDU,weiblich,BettinaHornhues,275204467,"Bremische Bürgerschaft"
"Thomas Höse",AfD,männlich,,,"Landtag Sachsen-Anhalt"
"Stephan Hösl",CDU,männlich,Hoesl_MdL,189983639,"Sächsischer Landtag"
"Reinhard Houben",FDP,männlich,HoubenReinhard,825069798140833794,Bundestag
"Gerda Hövel",CDU,weiblich,,,"Niedersächsischer Landtag"
"Holger Hövelmann",SPD,männlich,,,"Landtag Sachsen-Anhalt"
"Josef Hovenjürgen",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Isabell Huber",CDU,weiblich,,,"Landtag von Baden-Württemberg"
"Johannes Huber",AfD,männlich,Huber_AfD,2527085323,Bundestag
"Marcel Huber",CSU,männlich,MdLHuber,3126548512,"Bayerischer Landtag"
