,SM_Twitter_id,SM_Twitter_user,old/new
183,855339513198952448,christianblex,new
184,855339513198952448,matthi_bolte,old
185,856561380157272064,ravensburgc,old
186,856807050294251520,carlocronenberg,old
187,865920519668989952,nkleinwaechter,old
188,865920519668989955,larsklingbeil,old
189,865920519668989955,nkleinwaechter,new
190,868762469115846656,corinnamiazga,old
191,869253066616430592,m_dueker,old
192,874304935906729984,carina_konrad,old
193,876100980554772481,andreaskrahl1,old
194,876100980554772481,andkrahl,new
195,877919294998315008,stefanherremdl,old
196,883259759385862144,joerg_urbanafd,old
197,883259759385862144,joerg_urbanafd,old
198,883313551523401728,mdlmarc,old
199,883313551523401729,mdlmarc,new
200,883313551523401729,sonjabongers,old
201,885167849685340160,drmespendiller,old
202,887345693526036480,sbubendorfer,old
203,888151168765100032,wilko_moeller,old
204,898597063444877313,koehler_fdp,new
205,898597063444877313,danielakolbe,old
206,912223443231428608,steffenkotre,old
207,912223443231428609,kottinguhl,old
208,912223443231428609,steffenkotre,new
209,912243750809817088,siemtjemoeller,old
210,912243750809817089,karstenmoering,old
211,916324637046435840,drfriesenmdb,new
212,916324637046435840,michaelfrieser,old
213,921355767688593408,kniesetosca,old
214,921355767688593410,kkorschewsky,old
215,921355767688593410,kniesetosca,new
216,928226914472529920,p_plattform,old
217,928226914472529921,p_plattform,new
218,928226914472529921,larsjoernzimmer,old
219,930422173478608896,reuther_bernd,old
220,930837904653418496,jacbejacqueline,old
221,932652572627914752,elisabeth_kula,old
222,932652572627914753,robert_lambrou,old
223,932652572627914753,elisabeth_kula,new
224,935169049977327616,roickwolfgang,old
225,935169049977327619,marieschaeff,old
226,935169049977327619,roickwolfgang,new
227,939092636165689345,dittmarsabine,old
228,939092636165689345,estherdilcher,new
229,940691491835564032,engineroglu_fw,old
230,940691491835564033,markusferber,old
231,940691491835564033,engineroglu_fw,new
232,944260839619596288,monikahohmann,old
233,947740210036641792,mi_muentefering,old
234,947740210036641793,mi_muentefering,new
235,947740210036641793,s_muenzenmaier,old
236,951080921163292672,blechschmidta,old
237,953733513869709312,hagenkohlmdl,old
238,955531685776580608,carolawolle,old
239,955899834325700608,baummdl,old
240,955899834325700608,baummdl,old
241,958443722890514432,cgrascha,old
242,958443722890514438,williehamburg,old
243,958443722890514438,cgrascha,new
244,958701463538106368,lutzhecker_mdl,old
245,959063159222005760,cordulaeger,old
246,968551492390129664,joachim_kuhs,old
247,968551492390129666,joachim_kuhs,new
248,968551492390129666,berndlange,old
249,971042894227361792,m_boddenberg,old
250,971042894227361795,kbolldorf,old
251,971042894227361795,m_boddenberg,new
252,974867026006151168,kathleenmuxel,old
253,974905969086992384,poschmannkatja,old
254,974905969086992389,brichstein1,old
255,974905969086992389,poschmannkatja,new
256,977186594452066304,knutjohn_spd,old
257,988115321704853504,stefanpauluhn,old
258,989042256937193472,berndgoegelafd,old
259,991594463905681408,thomaskutschaty,old
260,996440442819502080,drhollnagel,old
261,1004678910087499776,susischaper,old
262,1006099793888841728,mseesternpauly,old
263,1009457791554281472,marjavoellers,old
264,1012957688295280640,julianbarlen,old
265,1017236652727644160,mdlwald,old
266,1017236652727644161,muhterem_aras,old
267,1017236652727644161,mdlwald,new
268,1018482307928395776,arnoennersafd,old
269,1047818703591657472,hcberndt,old
270,1078621288007127041,ralfstadler1,old
271,1086011780034379776,brakebusch1,old
272,1097521513870311424,jorg_hansen,old
273,1122160535661961216,mdlmaier,old
274,1138479045857988608,isabellevandre,old
275,1153234968660905984,rolf_weigand,old
276,1153326441628651520,buchheitmarkus,old
277,1153326441628651521,delarabur,old
278,1153326441628651521,buchheitmarkus,new
279,1173704882269896704,fabianmehring,old
280,1174999375044591616,daviderkalp,old
281,1204005307640434688,tabberturs,old
