Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Matthias Joa,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Matthias_Joa
Uwe Junge,AfD,,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Uwe_Junge-2748.jpg,https://de.wikipedia.org/wiki/Uwe_Junge
Giorgina Kazungu-Haß,SPD,,,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Giorgina_Kazungu-Ha%C3%9F_-_0231.jpg,https://de.wikipedia.org/wiki/Giorgina_Kazungu-Ha%C3%9F
Jürgen Klein,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Klein_(Politiker)
Marcus Klein,CDU,,am 1. Oktober 2019 für Ralf Seekatz nachgerückt,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Marcus_Klein_-_Landtag_Rheinland-Pfalz_-_2395.jpg,https://de.wikipedia.org/wiki/Marcus_Klein_(Politiker)
Nina Klinkel,SPD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Nina_Klinkel
Johannes Klomann,SPD,Mainz I,,https://de.wikipedia.org/wiki/Datei:Johannes_Klomann_01.jpg,https://de.wikipedia.org/wiki/Johannes_Klomann
Anna Köbberling,SPD,Koblenz,am 18. Mai 2016 für David Langner nachgerückt,https://de.wikipedia.org/wiki/Datei:Anna_K%C3%B6bberling-2648.jpg,https://de.wikipedia.org/wiki/Anna_K%C3%B6bberling
Daniel Köbler,GRÜNE,,,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Daniel_K%C3%B6bler_-_Landtag_Rheinland-Pfalz_-_2469.jpg,https://de.wikipedia.org/wiki/Daniel_K%C3%B6bler
Marlies Kohnle-Gros,CDU,,,https://de.wikipedia.org/wiki/Datei:2014-02-20_-_Marlies_Kohnle-Gros_-_Landtag_Rheinland-Pfalz_-_2656.jpg,https://de.wikipedia.org/wiki/Marlies_Kohnle-Gros
Matthias Lammert,CDU,,Stellv. Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Matthias_Lammert_-_Landtag_Rheinland-Pfalz_-_2424.jpg,https://de.wikipedia.org/wiki/Matthias_Lammert
Sven Lefkowitz,SPD,Neuwied,am 8. Juni 2019 für Fredi Winter nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Sven_Lefkowitz
Helga Lerch,fraktionslos,,am 20. Februar 2020 aus der FDP-Fraktion ausgeschlossen,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Helga_Lerch
Peter Lerch,CDU,,am 15. Juli 2019 für Christine Schneider nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Peter_Lerch
Roger Lewentz,SPD,Koblenz/Lahnstein,Minister des Innern und für Sport,https://de.wikipedia.org/wiki/Datei:Roger_Lewentz-7545.jpg,https://de.wikipedia.org/wiki/Roger_Lewentz
Damian Lohr,AfD,,,https://de.wikipedia.org/wiki/Datei:Damian_Lohr-2729.jpg,https://de.wikipedia.org/wiki/Damian_Lohr
Stephanie Lohr,CDU,,am 1. Juli 2019 für Adolf Kessel nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Stephanie_Lohr
Michael Ludwig,CDU,,am 19. Mai 2020 nachgerückt für Michael Billen,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,"https://de.wikipedia.org/wiki/Michael_Ludwig_(Politiker,_1965)"
Tanja Machalet,SPD,,,https://de.wikipedia.org/wiki/Datei:Tanja_Machalet-7169.jpg,https://de.wikipedia.org/wiki/Tanja_Machalet
Helmut Martin,CDU,Bad Kreuznach,am 1. April 2018 für Julia Klöckner nachgerückt,https://de.wikipedia.org/wiki/Datei:2018-04-26_MdL_Helmut_Martin_7380.jpg,https://de.wikipedia.org/wiki/Helmut_Martin_(Politiker)
Elfriede Meurer,CDU,Wittlich,,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9302_Elfriede_Meurer.jpg,https://de.wikipedia.org/wiki/Elfriede_Meurer
Iris Nieland,AfD,,,https://de.wikipedia.org/wiki/Datei:Iris_Nieland_Abgeordnete_Landtag_RLP_2017.jpg,https://de.wikipedia.org/wiki/Iris_Nieland
Hans Jürgen Noss,SPD,Birkenfeld,,https://de.wikipedia.org/wiki/Datei:Hans-J%C3%BCrgen_Noss-7301.jpg,https://de.wikipedia.org/wiki/Hans_J%C3%BCrgen_Noss
Benedikt Oster,SPD,,am 18. Mai 2016 für Heike Raab nachgerückt,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Benedikt_Oster_-_Landtag_Rheinland-Pfalz_-_2314.jpg,https://de.wikipedia.org/wiki/Benedikt_Oster
Joachim Paul,AfD,,Stellv. Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,"https://de.wikipedia.org/wiki/Joachim_Paul_(Politiker,_1970)"
Andreas Rahm,SPD,Kaiserslautern I,,https://de.wikipedia.org/wiki/Datei:Andreas_Rahm.jpg,https://de.wikipedia.org/wiki/Andreas_Rahm
Jaqueline Rauschkolb,SPD,Donnersberg,,https://de.wikipedia.org/wiki/Datei:Rauschkolb.jpg,https://de.wikipedia.org/wiki/Jaqueline_Rauschkolb
Katrin Rehak-Nitsche,SPD,,am 29. April 2018 für Barbara Schleicher-Rothmund nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Katrin_Rehak-Nitsche
Christof Reichert,CDU,,am 1. Oktober 2017 für Susanne Ganster nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Christof_Reichert
Lothar Rommelfanger,SPD,Konz/Saarburg,,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Lothar_Rommelfanger_-_0473.jpg,https://de.wikipedia.org/wiki/Lothar_Rommelfanger
Thomas Roth,FDP,,,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Thomas_Roth_-_0278.jpg,https://de.wikipedia.org/wiki/Thomas_Roth_(Politiker)
Marc Ruland,SPD,,am 18. Mai 2016 für Clemens Hoch nachgerückt,https://de.wikipedia.org/wiki/Datei:Marc_Ruland-7316.jpg,https://de.wikipedia.org/wiki/Marc_Ruland
Ingeborg Sahler-Fesel,SPD,,,https://de.wikipedia.org/wiki/Datei:2014-02-20_-_Ingeborg_Sahler-Fesel_-_Landtag_Rheinland-Pfalz_-_2948.jpg,https://de.wikipedia.org/wiki/Ingeborg_Sahler-Fesel
Daniel Schäffner,SPD,Kaiserslautern-Land,,https://de.wikipedia.org/wiki/Datei:Pressefoto-Daniel_Sch%C3%A4ffner.jpg,https://de.wikipedia.org/wiki/Daniel_Sch%C3%A4ffner
Heike Scharfenberger,SPD,Ludwigshafen am Rhein II,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Heike_Scharfenberger
Pia Schellhammer,GRÜNE,,am 18. Mai 2016 für Anne Spiegel nachgerückt; Parlamentar. Geschäftsführerin,https://de.wikipedia.org/wiki/Datei:14-02-20-pia-schellhammer-0.jpg,https://de.wikipedia.org/wiki/Pia_Schellhammer
Martin Schmidt,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,"https://de.wikipedia.org/wiki/Martin_Schmidt_(Politiker,_1966)"
Arnold Schmitt,CDU,Trier/Schweich,,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Arnold_Schmitt_-_Landtag_Rheinland-Pfalz_-_2283.jpg,https://de.wikipedia.org/wiki/Arnold_Schmitt
Astrid Schmitt,SPD,,Stellvertretende Landtagspräsidentin,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9230_Astrid_Schmitt.jpg,https://de.wikipedia.org/wiki/Astrid_Schmitt
Marion Schneid,CDU,,Stellv. Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:Marion_Schneid-6901.jpg,https://de.wikipedia.org/wiki/Marion_Schneid
Gordon Schnieder,CDU,Vulkaneifel,,https://de.wikipedia.org/wiki/Datei:Gordon_Schnieder-2613.jpg,https://de.wikipedia.org/wiki/Gordon_Schnieder
