Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Martin Grath,GRÜNE,24 Heidenheim,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Martin_Grath
Bernd Grimmer,AfD,42 Pforzheim,,https://de.wikipedia.org/wiki/Datei:2015-01-17_3819_Bernd_Grimmer_(Landesparteitag_AfD_Baden-W%C3%BCrttemberg).jpg,https://de.wikipedia.org/wiki/Bernd_Grimmer
Gernot Gruber,SPD,17 Backnang,,https://de.wikipedia.org/wiki/Datei:2013-05-16_Gernot_Gruber_8499-crop.JPG,https://de.wikipedia.org/wiki/Gernot_Gruber_(Politiker)
Friedlinde Gurr-Hirsch,CDU,19 Eppingen,,https://de.wikipedia.org/wiki/Datei:Friedlinde_Gurr-Hirsch_8656.JPG,https://de.wikipedia.org/wiki/Friedlinde_Gurr-Hirsch
Petra Häffner,GRÜNE,16 Schorndorf,,https://de.wikipedia.org/wiki/Datei:Petra_H%C3%A4ffner_8439.JPG,https://de.wikipedia.org/wiki/Petra_H%C3%A4ffner
Manuel Hagel,CDU,65 Ehingen,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Manuel_Hagel
Martin Hahn,GRÜNE,67 Bodensee,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Martin_Hahn_(Politiker)
Willi Halder,GRÜNE,15 Waiblingen,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Willi_Halder
Sabine Hartmann-Müller,CDU,59 Waldshut,nachgerückt am 25. Oktober 2017 für Felix Schreiner,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Sabine_Hartmann-M%C3%BCller
Raimund Haser,CDU,68 Wangen,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Raimund_Haser
Peter Hauk,CDU,38 Neckar-Odenwald,,"https://de.wikipedia.org/wiki/Datei:2013-05-15_16_-_Hauk,_Peter,_MdL_-_LTBW_-_4610.jpg",https://de.wikipedia.org/wiki/Peter_Hauk
Jochen Haußmann,FDP/DVP,16 Schorndorf,,https://de.wikipedia.org/wiki/Datei:Jochen_Hau%C3%9Fmann_8927.JPG,https://de.wikipedia.org/wiki/Jochen_Hau%C3%9Fmann
