"uuid","category","group","Name","Fraktion","Fraktion.1","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"c5abae2e-c8a0-48c0-823e-d31928cb312b","Parlamentarier","EU-Parlament","Delara Burkhardt","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_female.svg","https://de.wikipedia.org/wiki/Delara_Burkhardt","weiblich","delarabur",1133570430,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"be51380f-fa76-443e-b061-f0c61c771aa9","Parlamentarier","EU-Parlament","Martin Buschmann","Parteilos","<U+FEFF>NI","Bundesgebiet","Gewählt für die Tierschutzpartei und anschließend Mitglied der GUE-NGL-Fraktion. Trat am 28. Januar 2020 aus der Fraktion und am 29. Januar 2020 aus der Partei aus.[1]","https://de.wikipedia.org/wiki/Datei:Martin_Buschmann_(48908325978)_(cropped).jpg","https://de.wikipedia.org/wiki/Martin_Buschmann_(Politiker)","männlich","BuschmannMartin",1041644034849103872,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"db26a204-9a8c-4b29-ab22-565a8a988302","Parlamentarier","EU-Parlament","Reinhard Bütikofer","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Reinhard_B%C3%BCtikofer_-_Die_Gr%C3%BCnen,_Juni_2009-cropped.jpg","https://de.wikipedia.org/wiki/Reinhard_B%C3%BCtikofer","männlich","bueti",20610385,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"d211afdd-0b44-41e0-9834-ef96cd8b327d","Parlamentarier","EU-Parlament","Daniel Caspary","CDU","<U+FEFF>EPP","Baden-Württemberg","","https://de.wikipedia.org/wiki/Datei:Daniel_Caspary_-_Wiki_Loves_Parliament_-_2014_-_P1760676.jpg","https://de.wikipedia.org/wiki/Daniel_Caspary","männlich","caspary",17780822,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"f4002546-fbd4-40d0-8143-969e1a74432f","Parlamentarier","EU-Parlament","Anna Cavazzini","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Anna_Cavazzini_2019_(3).JPG","https://de.wikipedia.org/wiki/Anna_Cavazzini","weiblich","anna_cavazzini",833300465039319040,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"204a7525-9b8b-460a-a148-c9bea60d32d1","Parlamentarier","EU-Parlament","Viola von Cramon-Taubadel","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Flickr_-_boellstiftung_-_Forum_1_(2).jpg","https://de.wikipedia.org/wiki/Viola_von_Cramon-Taubadel","weiblich","ViolavonCramon",30507250,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"9c40d6d5-5368-463d-8fa7-8bf534e25f66","Parlamentarier","EU-Parlament","Özlem Alev Demirel","LINKE","<U+FEFF>GUE-NGL","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:2017-05-04-WDR_Wahlarena-1401.jpg","https://de.wikipedia.org/wiki/%C3%96zlem_Demirel","weiblich","OezlemADemirel",406893885,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"a7617ea3-aa01-4bb9-b9a6-c1e2f89006ec","Parlamentarier","EU-Parlament","Anna Deparnay-Grunenberg","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Anna_Deparnay-Grunenberg_.jpg","https://de.wikipedia.org/wiki/Anna_Deparnay-Grunenberg","weiblich","AnnaDeparnay",825815009041203200,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"78e83885-2934-4c8c-b40c-4bc5bbb67cc4","Parlamentarier","EU-Parlament","Christian Doleschal","CSU","<U+FEFF>EPP","Bayern","","https://de.wikipedia.org/wiki/Datei:20190528_doleschal_christian_de_15_resized_xl.jpg","https://de.wikipedia.org/wiki/Christian_Doleschal","männlich","Doleschal",17782837,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"c27468e7-d8cd-470d-be92-e518d0f92f00","Parlamentarier","EU-Parlament","Lena Düpont","CDU","<U+FEFF>EPP","Niedersachsen","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_female.svg","https://de.wikipedia.org/wiki/Lena_D%C3%BCpont",NA,NA,NA,NA,NA,2021-02-23 20:47:00,"admin",""
